,authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab,lineage
0,,,EPI_ISL_916444,,,hCoV-19/England/CAMC-10FA437/2021,,alpha
1,,,EPI_ISL_1243107,,,hCoV-19/England/MILK-1386CCC/2021,,alpha
2,,,EPI_ISL_1977319,,,hCoV-19/Northern Ireland/NIRE-00174b/2021,,alpha
3,,,EPI_ISL_1256356,,,hCoV-19/England/QEUH-13931AF/2021,,alpha
4,,,EPI_ISL_1114913,,,hCoV-19/England/MILK-12F6F47/2021,,alpha
5,,,EPI_ISL_2434485,,,hCoV-19/England/NORT-1BC52C7/2021,,alpha
6,,,EPI_ISL_1508028,,,hCoV-19/Scotland/QEUH-145E0C0/2021,,alpha
7,,,EPI_ISL_879340,,,hCoV-19/England/ALDP-10683EC/2021,,alpha
8,,,EPI_ISL_2121183,,,hCoV-19/England/MILK-1567166/2021,,alpha
9,,,EPI_ISL_1104229,,,hCoV-19/Scotland/EDB15258/2021,,alpha
10,,,EPI_ISL_1019098,,,hCoV-19/England/ALDP-125D46D/2021,,alpha
11,,,EPI_ISL_10131089,,,hCoV-19/Northern Ireland/NIRE-003d72/2021,,alpha
12,,,EPI_ISL_1538121,,,hCoV-19/Scotland/QEUH-14A7C3D/2021,,alpha
13,,,EPI_ISL_1584686,,,hCoV-19/Scotland/QEUH-14CFA62/2021,,alpha
14,,,EPI_ISL_1082895,,,hCoV-19/England/QEUH-12C9280/2021,,alpha
15,,,EPI_ISL_1486702,,,hCoV-19/England/MILK-148F9DA/2021,,alpha
16,,,EPI_ISL_1452174,,,hCoV-19/England/ALDP-1451B80/2021,,alpha
17,,,EPI_ISL_1276811,,,hCoV-19/England/ALDP-13A9EFA/2021,,alpha
18,,,EPI_ISL_1741033,,,hCoV-19/England/ALDP-151751E/2021,,alpha
19,,,EPI_ISL_1332232,,,hCoV-19/England/QEUH-13C3874/2021,,alpha
20,,,EPI_ISL_1006437,,,hCoV-19/England/MILK-11C358E/2021,,alpha
21,,,EPI_ISL_2435170,,,hCoV-19/England/ALDP-15F369D/2021,,alpha
22,,,EPI_ISL_1247331,,,hCoV-19/England/ALDP-138BCC7/2021,,alpha
23,,,EPI_ISL_731408,,,hCoV-19/England/QEUH-C3136B/2020,,alpha
24,,,EPI_ISL_10128845,,,hCoV-19/Northern Ireland/NIRE-003772/2021,,alpha
25,,,EPI_ISL_2006095,,,hCoV-19/England/QEUH-152EFE9/2021,,alpha
26,,,EPI_ISL_1346327,,,hCoV-19/England/CAMC-13D3A6C/2021,,alpha
27,,,EPI_ISL_1206901,,,hCoV-19/England/ALDP-133EBB7/2021,,alpha
28,,,EPI_ISL_1630943,,,hCoV-19/England/ALDP-14EDCB3/2021,,alpha
29,,,EPI_ISL_1759880,,,hCoV-19/England/MILK-151B3E3/2021,,alpha
30,,,EPI_ISL_1070840,,,hCoV-19/England/MILK-128555A/2021,,alpha
31,,,EPI_ISL_1985955,,,hCoV-19/England/MILK-1550458/2021,,alpha
32,,,EPI_ISL_908798,,,hCoV-19/England/CAMC-10BF4A7/2021,,alpha
33,,,EPI_ISL_1189719,,,hCoV-19/England/MILK-133B2F1/2021,,alpha
34,,,EPI_ISL_839942,,,hCoV-19/England/NORW-225759/2021,,alpha
35,,,EPI_ISL_1831166,,,hCoV-19/Scotland/QEUH-1527F4A/2021,,alpha
36,,,EPI_ISL_1175500,,,hCoV-19/England/ALDP-130B807/2021,,alpha
37,,,EPI_ISL_1730776,,,hCoV-19/Wales/PHWC-PYRNDS/2021,,alpha
38,,,EPI_ISL_1740972,,,hCoV-19/England/MILK-1517D07/2021,,alpha
39,,,EPI_ISL_987710,,,hCoV-19/England/CAMC-11B5859/2021,,alpha
40,,,EPI_ISL_1830058,,,hCoV-19/England/ALDP-1533BDE/2021,,alpha
41,,,EPI_ISL_891622,,,hCoV-19/England/QEUH-10BA503/2021,,alpha
42,,,EPI_ISL_1344806,,,hCoV-19/England/RAND-13EAC3F/2021,,alpha
43,,,EPI_ISL_950346,,,hCoV-19/England/NORT-1B7F46C/2021,,alpha
44,,,EPI_ISL_2753126,,,hCoV-19/England/WSFT-25D12BC/2021,,alpha
45,,,EPI_ISL_1328867,,,hCoV-19/England/QEUH-13D661A/2021,,alpha
46,,,EPI_ISL_778172,,,hCoV-19/England/CAMC-CB73E5/2020,,alpha
47,,,EPI_ISL_1365194,,,hCoV-19/Northern Ireland/RAND-13EAF90/2021,,alpha
48,,,EPI_ISL_1584454,,,hCoV-19/Scotland/QEUH-14D69C5/2021,,alpha
49,,,EPI_ISL_1518842,,,hCoV-19/England/ALDP-14A772D/2021,,alpha
50,,,EPI_ISL_953132,,,hCoV-19/England/TFCI-270399C/2020,,alpha
51,,,EPI_ISL_1833127,,,hCoV-19/Scotland/PHWC-4D9CCC/2021,,alpha
52,,,EPI_ISL_1637991,,,hCoV-19/England/PORT-1E7ACDF/2021,,alpha
53,,,EPI_ISL_948266,,,hCoV-19/England/CAMC-1164051/2021,,alpha
54,,,EPI_ISL_1790384,,,hCoV-19/England/MILK-151E641/2021,,alpha
55,,,EPI_ISL_1584199,,,hCoV-19/England/MILK-14D9B71/2021,,alpha
56,,,EPI_ISL_2407501,,,hCoV-19/Scotland/QEUH-15CCCAA/2021,,alpha
57,,,EPI_ISL_2744321,,,hCoV-19/England/PHEC-317D66/2021,,alpha
58,,,EPI_ISL_863496,,,hCoV-19/England/QEUH-1003B63/2021,,alpha
59,,,EPI_ISL_1413343,,,hCoV-19/England/ALDP-1425657/2021,,alpha
60,,,EPI_ISL_873692,,,hCoV-19/England/CAMC-101CBFE/2021,,alpha
61,,,EPI_ISL_1699751,,,hCoV-19/England/ALDP-150666A/2021,,alpha
62,,,EPI_ISL_1104400,,,hCoV-19/England/LIVE-DFB1EA/2021,,alpha
