authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_1912730,,,hCoV-19/Scotland/QEUH-153FCA2/2021,
,,EPI_ISL_764278,,,hCoV-19/Scotland/EDB11342/2020,
,,EPI_ISL_1053727,,,hCoV-19/Wales/PHWC-4CD0FC/2021,
,,EPI_ISL_1007076,,,hCoV-19/England/MILK-1206C98/2021,
,,EPI_ISL_993820,,,hCoV-19/England/MILK-104057B/2021,
,,EPI_ISL_963526,,,hCoV-19/England/MILK-11A103A/2021,
,,EPI_ISL_957752,,,hCoV-19/England/CAMC-11B5E57/2021,
,,EPI_ISL_867682,,,hCoV-19/Wales/PHWC-4B9837/2021,
,,EPI_ISL_865068,,,hCoV-19/Scotland/CVR6583/2021,
,,EPI_ISL_922965,,,hCoV-19/Wales/PHWC-4BD44E/2021,
,,EPI_ISL_867270,,,hCoV-19/Wales/PHWC-4B7BB8/2021,
,,EPI_ISL_919516,,,hCoV-19/England/LIVE-DE6908/2021,
,,EPI_ISL_1830694,,,hCoV-19/England/MILK-1532744/2021,
,,EPI_ISL_986831,,,hCoV-19/England/ALDP-121F045/2021,
,,EPI_ISL_1730828,,,hCoV-19/England/PORT-1E6F9B8/2021,
,,EPI_ISL_1730898,,,hCoV-19/England/PORT-1E7F5A2/2021,
,,EPI_ISL_9832672,,,hCoV-19/England/LOND-YYBDAET/2021,
,,EPI_ISL_1189460,,,hCoV-19/England/MILK-1354140/2021,
,,EPI_ISL_3203770,,,hCoV-19/Scotland/QEUH-1A07646/2021,
,,EPI_ISL_1326758,,,hCoV-19/England/CAMC-13DC7F3/2021,
,,EPI_ISL_1759132,,,hCoV-19/England/RAND-1515E42/2021,
,,EPI_ISL_1451425,,,hCoV-19/England/CAMC-144BC1D/2021,
,,EPI_ISL_1454267,,,hCoV-19/England/CAMC-143E0B7/2021,
,,EPI_ISL_1473562,,,hCoV-19/England/CAMC-1484B93/2021,
,,EPI_ISL_1473748,,,hCoV-19/England/CAMC-145B2AF/2021,
,,EPI_ISL_2736553,,,hCoV-19/England/PHEC-1573C4/2021,
,,EPI_ISL_3776993,,,hCoV-19/England/PHEC-U308U885/2021,
,,EPI_ISL_3776308,,,hCoV-19/England/PHEC-U303UD21/2021,
,,EPI_ISL_3776012,,,hCoV-19/England/PHEC-T30BT57C/2021,
,,EPI_ISL_1332717,,,hCoV-19/England/CAMC-13A59C0/2021,
,,EPI_ISL_945102,,,hCoV-19/England/CAMC-F0C032/2020,
,,EPI_ISL_2080412,,,hCoV-19/England/HSLL-155A3AC/2021,
,,EPI_ISL_825574,,,hCoV-19/England/210201151/2021,
,,EPI_ISL_1912748,,,hCoV-19/Scotland/QEUH-15400FD/2021,
,,EPI_ISL_2740294,,,hCoV-19/England/PHEC-3021BD/2021,
,,EPI_ISL_2742247,,,hCoV-19/England/PHEC-30CCA3/2021,
,,EPI_ISL_1912747,,,hCoV-19/Scotland/QEUH-15400C0/2021,
,,EPI_ISL_2022912,,,hCoV-19/Scotland/MILK-1558A30/2021,
,,EPI_ISL_2022573,,,hCoV-19/England/HSLL-15523A4/2021,
,,EPI_ISL_2005659,,,hCoV-19/England/RAND-152B2A7/2021,
,,EPI_ISL_2004441,,,hCoV-19/England/ALDP-155A245/2021,
,,EPI_ISL_2005376,,,hCoV-19/England/HSLL-153F1EF/2021,
,,EPI_ISL_2005535,,,hCoV-19/England/HSLL-153F5A7/2021,
,,EPI_ISL_2568983,,,hCoV-19/England/MILK-167C358/2021,
,,EPI_ISL_1987242,,,hCoV-19/England/RAND-154BE07/2021,
,,EPI_ISL_990129,,,hCoV-19/Scotland/QEUH-117107F/2021,
,,EPI_ISL_1921706,,,hCoV-19/England/MILK-1544E2C/2021,
,,EPI_ISL_1487861,,,hCoV-19/England/CAMC-145B685/2021,
,,EPI_ISL_1504499,,,hCoV-19/England/ALDP-14B0E0E/2021,
,,EPI_ISL_1506046,,,hCoV-19/England/RAND-149D793/2021,
,,EPI_ISL_1544559,,,hCoV-19/England/QEUH-14D10D4/2021,
,,EPI_ISL_1546756,,,hCoV-19/Wales/PHWC-PYN67J/2021,
,,EPI_ISL_2347237,,,hCoV-19/England/MILK-15AF91F/2021,
,,EPI_ISL_2366297,,,hCoV-19/England/MILK-15BF18D/2021,
,,EPI_ISL_2355122,,,hCoV-19/England/GSTT-210126LSBC20/2021,
,,EPI_ISL_2317104,,,hCoV-19/England/MILK-15A4947/2021,
,,EPI_ISL_2275058,,,hCoV-19/England/MILK-159F314/2021,
,,EPI_ISL_1652881,,,hCoV-19/England/RAND-14FD47C/2021,
,,EPI_ISL_1631998,,,hCoV-19/Wales/CAMC-14E3163/2021,
,,EPI_ISL_1584086,,,hCoV-19/England/CAMC-14D1FD7/2021,
,,EPI_ISL_1538402,,,hCoV-19/England/MILK-1400FDF/2021,
,,EPI_ISL_1505530,,,hCoV-19/England/ALDP-14AC254/2021,
,,EPI_ISL_1504734,,,hCoV-19/England/RAND-14A55E9/2021,
,,EPI_ISL_1484115,,,hCoV-19/England/ALDP-14A10A0/2021,
,,EPI_ISL_1484087,,,hCoV-19/England/CAMC-149A13E/2021,
,,EPI_ISL_1483859,,,hCoV-19/England/CAMC-149AF16/2021,
,,EPI_ISL_1475188,,,hCoV-19/Northern Ireland/NIRE-23DBE9/2020,
,,EPI_ISL_1474678,,,hCoV-19/England/LIVE-E05A0F/2021,
,,EPI_ISL_1467390,,,hCoV-19/England/RAND-1473001/2021,
,,EPI_ISL_1454479,,,hCoV-19/England/CAMC-143DE36/2021,
,,EPI_ISL_1454315,,,hCoV-19/England/CAMC-142E445/2021,
,,EPI_ISL_1451415,,,hCoV-19/England/CAMC-144B934/2021,
,,EPI_ISL_1410261,,,hCoV-19/England/CAMC-141C134/2021,
,,EPI_ISL_1410117,,,hCoV-19/England/CAMC-141B8A9/2021,
,,EPI_ISL_1386524,,,hCoV-19/England/BIRM-BCNNCW/2021,
,,EPI_ISL_1377986,,,hCoV-19/England/MILK-1403482/2021,
,,EPI_ISL_1365287,,,hCoV-19/England/QEUH-13E9562/2021,
,,EPI_ISL_1334166,,,hCoV-19/England/MILK-1251636/2021,
,,EPI_ISL_1329225,,,hCoV-19/England/CAMC-13B7794/2021,
,,EPI_ISL_1327573,,,hCoV-19/England/CAMC-13D38AE/2021,
,,EPI_ISL_1327568,,,hCoV-19/England/CAMC-13D462B/2021,
,,EPI_ISL_1275640,,,hCoV-19/England/CAMC-13A41F6/2021,
,,EPI_ISL_1243663,,,hCoV-19/England/ALDP-136E987/2021,
,,EPI_ISL_1242577,,,hCoV-19/England/CAMC-1314C1E/2021,
,,EPI_ISL_1187155,,,hCoV-19/England/CAMC-1327F5B/2021,
,,EPI_ISL_2006558,,,hCoV-19/England/HSLL-1532C36/2021,
,,EPI_ISL_1484515,,,hCoV-19/England/CAMC-144B21B/2021,
,,EPI_ISL_2395820,,,hCoV-19/England/MILK-15C2B3E/2021,
,,EPI_ISL_2704677,,,hCoV-19/England/CAMC-1508F03/2021,
,,EPI_ISL_821180,,,hCoV-19/England/ALDP-E2E55A/2021,
,,EPI_ISL_820764,,,hCoV-19/England/MILK-EBB59E/2021,
,,EPI_ISL_2021827,,,hCoV-19/England/MILK-155F18F/2021,
,,EPI_ISL_797194,,,hCoV-19/England/MILK-DAFDD2/2020,
,,EPI_ISL_799295,,,hCoV-19/England/CAMC-D35DA4/2020,
,,EPI_ISL_1534996,,,hCoV-19/England/CAMC-14C9AB3/2021,
,,EPI_ISL_2742234,,,hCoV-19/England/PHEC-30C933/2021,
,,EPI_ISL_2737095,,,hCoV-19/England/PHEC-1597B7/2021,
,,EPI_ISL_2022808,,,hCoV-19/Scotland/QEUH-15550C8/2021,
,,EPI_ISL_2641722,,,hCoV-19/England/CAMC-14E22DA/2021,
,,EPI_ISL_2347125,,,hCoV-19/England/MILK-15B08B4/2021,
,,EPI_ISL_3574456,,,hCoV-19/England/PHEC-S308S2F0/2021,
,,EPI_ISL_2022883,,,hCoV-19/Scotland/QEUH-1559589/2021,
,,EPI_ISL_777229,,,hCoV-19/England/MILK-C90388/2020,
,,EPI_ISL_770441,,,hCoV-19/England/205280030/2020,
