sample_id,global_n,s_n,s_n_contig,rbd_n
hCoV_19_England_PHEP_YYGBCS9_2022,0.004414272815436578,0.0005232862375719519,2,0
hCoV_19_NorthernIreland_NIRE_01a9e0_2022,0.022171688459351906,0.03898482469911042,68,127
hCoV_19_Wales_ALDP_1184FB8_2021,0.00404641674748353,0.0,0,0
hCoV_19_Scotland_QEUH_3BC9166_2022,0.08654650035113534,0.13474620617477762,301,255
hCoV_19_Wales_PHWC_PKBXG9_2022,0.0011704511253051533,0.0,0,0
hCoV_19_England_QEUH_2E9FBA7E_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_34EBDAD_2022,0.03841267718641348,0.0,0,0
hCoV_19_England_MILK_1559B1E_2021,0.013909787006386464,0.0,0,0
hCoV_19_England_LSPA_32125F86_2022,0.004213624051098552,0.0,0,0
hCoV_19_NorthernIreland_NIRE_01a900_2022,0.014446711032337892,0.0,0,0
hCoV_19_Scotland_QEUH_283F0BF_2021,0.020867471491154733,0.0,0,0
hCoV_19_England_RAND_13F1E20_2021,0.00999899675617831,0.04657247514390372,127,22
hCoV_19_NorthernIreland_QEUH_3F0D117_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_12B7908_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PHEC_T30BT961_2021,0.03237133397986824,0.07299843014128729,277,0
hCoV_19_England_ALDP_34C4232_2022,0.00421235624498529,0.0,0,0
hCoV_19_England_ALDP_1FA8721_2021,0.00404641674748353,0.0,0,0
hCoV_19_Wales_OXON_F601DF_2021,6.688292144600876e-05,0.0,0,0
hCoV_19_England_MILK_159F04A_2021,0.018359361936929407,0.0,0,0
hCoV_19_England_ALDP_2F8893D_2021,0.013940893286975127,0.076138147566719,189,189
hCoV_19_England_PLYM_3EF3B53_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_QEUH_14356BE_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_MILK_38AB2B5_2022,0.004213624051098552,0.0,0,0
hCoV_19_Scotland_SCOT_16691_2022,0.003310704611577434,0.0,0,0
hCoV_19_England_ALDP_1944C00_2021,0.00404641674748353,0.0,0,0
hCoV_19_England_PHEC_YY8FTST_2022,0.00969802360967127,0.0015698587127158557,6,0
hCoV_19_NorthernIreland_PHEC_M304MF93_2021,0.011368575918681244,0.0,0,0
hCoV_19_Scotland_QEUH_32576E0D_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_MILK_2736ABB_2021,0.02869277330033776,0.07299843014128729,279,0
hCoV_19_England_MILK_3B6A950_2022,0.004213624051098552,0.0,0,0
hCoV_19_England_PHEC_YYF4QRO_2022,0.0022740193291642978,0.0,0,0
