authors,genbankAccession,gisaidEpiIsl,originatingLab,sraAccession,strain,submittingLab
,,EPI_ISL_3959565,,,hCoV-19/England/PHEC-V303VD9A/2021,
,,EPI_ISL_2118029,,,hCoV-19/England/ALDP-1576F00/2021,
,,EPI_ISL_1294650,,,hCoV-19/Scotland/QEUH-138F944/2021,
,,EPI_ISL_2117840,,,hCoV-19/England/MILK-157553C/2021,
,,EPI_ISL_2554494,,,hCoV-19/England/MILK-1680C47/2021,
,,EPI_ISL_2706917,,,hCoV-19/England/NORW-13DCE2B/2021,
,,EPI_ISL_2742380,,,hCoV-19/England/PHEC-30D71A/2021,
,,EPI_ISL_3776071,,,hCoV-19/England/PHEC-T30BT961/2021,
,,EPI_ISL_1333304,,,hCoV-19/England/CAMC-134E62C/2021,
,,EPI_ISL_1332933,,,hCoV-19/England/CAMC-139C4DA/2021,
,,EPI_ISL_2080385,,,hCoV-19/England/HSLL-155A685/2021,
,,EPI_ISL_2749813,,,hCoV-19/England/PHESW-YYBYKQ3/2021,
,,EPI_ISL_2749811,,,hCoV-19/England/PHESW-YYBYKOW/2021,
,,EPI_ISL_2021081,,,hCoV-19/England/MILK-155E214/2021,
,,EPI_ISL_1986931,,,hCoV-19/England/MILK-154E89D/2021,
,,EPI_ISL_9832670,,,hCoV-19/England/LOND-YYBDACJ/2021,
,,EPI_ISL_2004797,,,hCoV-19/England/MILK-1559B1E/2021,
,,EPI_ISL_2316530,,,hCoV-19/England/MILK-1595F56/2021,
,,EPI_ISL_3776073,,,hCoV-19/England/PHEC-T30BT98F/2021,
,,EPI_ISL_3776837,,,hCoV-19/England/PHEC-U307UDE1/2021,
,,EPI_ISL_1519280,,,hCoV-19/England/CAMC-14A519A/2021,
,,EPI_ISL_3574505,,,hCoV-19/England/PHEC-S30AS786/2021,
,,EPI_ISL_2352978,,,hCoV-19/England/MILK-15BDA0C/2021,
,,EPI_ISL_2348483,,,hCoV-19/England/MILK-15A190E/2021,
,,EPI_ISL_1790999,,,hCoV-19/England/MILK-1524DBC/2021,
,,EPI_ISL_3573591,,,hCoV-19/England/PHEC-R308R07E/2021,
,,EPI_ISL_7464022,,,hCoV-19/England/PHEC-3U0A2U3A/2021,
,,EPI_ISL_1653315,,,hCoV-19/England/CAMC-14F3B17/2021,
,,EPI_ISL_2237842,,,hCoV-19/Scotland/QEUH-158BEFC/2021,
,,EPI_ISL_2235591,,,hCoV-19/England/MILK-1592BA0/2021,
,,EPI_ISL_2199058,,,hCoV-19/Scotland/QEUH-1584251/2021,
